<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.10.19	1.65599	1.66710	1.64842	1.66490	53495	0	6
2020.10.20	1.66490	1.68262	1.66359	1.67719	65796	0	7
2020.10.21	1.67705	1.67822	1.66386	1.66634	64145	0	3
2020.10.22	1.66634	1.67117	1.65947	1.66011	58075	0	9
2020.10.23	1.66006	1.66646	1.65527	1.66146	51238	0	6
2020.10.26	1.65994	1.66590	1.65330	1.65821	62052	0	6
2020.10.27	1.65821	1.66052	1.65385	1.65413	52880	0	8
2020.10.28	1.65409	1.66848	1.64598	1.66645	73601	0	9
2020.10.29	1.66648	1.66855	1.65797	1.66015	77016	0	9
2020.10.30	1.66015	1.66399	1.65281	1.65688	81145	0	9
2020.11.02	1.65723	1.66394	1.64851	1.64940	65348	0	6
2020.11.03	1.64933	1.65738	1.63343	1.63461	49608	0	2
2020.11.04	1.63476	1.65030	1.62856	1.63122	101754	0	1
2020.11.05	1.63273	1.63924	1.62288	1.62302	132923	0	0
2020.11.06	1.62318	1.63739	1.62288	1.63560	129976	0	0
2020.11.09	1.63161	1.63507	1.62058	1.62163	149813	0	0
2020.11.10	1.62096	1.62830	1.61886	1.62166	140969	0	0
2020.11.11	1.62129	1.62440	1.61443	1.61751	97607	0	0
2020.11.12	1.61751	1.63351	1.61583	1.63206	103961	0	0
2020.11.13	1.63189	1.63436	1.62645	1.62771	84197	0	0
2020.11.16	1.62729	1.62915	1.61586	1.61891	98348	0	0
2020.11.17	1.61891	1.62806	1.61767	1.62405	86363	0	0
2020.11.18	1.62402	1.63047	1.61885	1.62214	93124	0	0
2020.11.19	1.62202	1.63088	1.62145	1.62945	97346	0	0
2020.11.20	1.62945	1.63337	1.62047	1.62336	87544	0	0
2020.11.23	1.62159	1.62688	1.61913	1.62474	86375	0	0
2020.11.24	1.62485	1.62505	1.61221	1.61507	88873	0	0
2020.11.25	1.61558	1.62452	1.61402	1.61742	94056	0	0
2020.11.26	1.61770	1.62130	1.61548	1.61747	54484	0	0
2020.11.27	1.61846	1.62067	1.61455	1.61778	69282	0	0
2020.11.30	1.61877	1.62785	1.61633	1.62349	97370	0	0
2020.12.01	1.62336	1.63858	1.62155	1.63690	93089	0	0
2020.12.02	1.63690	1.64198	1.63187	1.63323	97962	0	0
2020.12.03	1.63325	1.63716	1.62996	1.63160	92529	0	0
2020.12.04	1.63223	1.64107	1.63042	1.63160	92807	0	0
2020.12.07	1.63139	1.63999	1.62815	1.63103	91468	0	0
2020.12.08	1.63122	1.63658	1.63034	1.63221	89526	0	0
2020.12.09	1.63241	1.63480	1.61780	1.62197	92172	0	0
2020.12.10	1.62200	1.62618	1.60903	1.61037	102041	0	0
2020.12.11	1.61014	1.61418	1.60400	1.60739	93250	0	0
2020.12.14	1.60737	1.61292	1.60448	1.61104	82444	0	0
2020.12.15	1.61135	1.61802	1.60659	1.60767	83988	0	0
2020.12.16	1.60767	1.61452	1.60618	1.60977	87261	0	0
2020.12.17	1.60979	1.61216	1.60064	1.60826	78927	0	0
2020.12.18	1.60812	1.61454	1.60587	1.60765	77475	0	0
2020.12.21	1.60936	1.62562	1.60767	1.61326	127325	0	0
2020.12.22	1.61324	1.62313	1.61218	1.61624	97654	0	0
2020.12.23	1.61622	1.61773	1.60630	1.60805	91252	0	0
2020.12.24	1.60779	1.61023	1.60238	1.60387	58766	0	0
2020.12.28	1.60058	1.61531	1.60040	1.61142	80004	0	0
2020.12.29	1.61143	1.61343	1.60637	1.60966	79089	0	0
2020.12.30	1.60966	1.61133	1.59835	1.59961	85717	0	0
2020.12.31	1.59963	1.60089	1.58280	1.58437	75940	0	0
2021.01.04	1.58798	1.60296	1.58621	1.59723	123608	0	0
2021.01.05	1.59736	1.59885	1.58155	1.58440	118904	0	0
2021.01.06	1.58347	1.58797	1.57694	1.57952	163111	0	0
2021.01.07	1.57956	1.58651	1.57825	1.57953	128803	0	0
2021.01.08	1.57957	1.58139	1.57240	1.57380	143158	0	0
2021.01.11	1.57302	1.58317	1.57302	1.57823	113520	0	0
2021.01.12	1.57822	1.57930	1.56937	1.57027	104041	0	0
2021.01.13	1.57028	1.57467	1.56843	1.57167	96329	0	0
2021.01.14	1.57186	1.57249	1.55930	1.56222	102655	0	0
2021.01.15	1.56285	1.57336	1.56093	1.56767	105113	0	0
2021.01.18	1.56660	1.57508	1.56604	1.57150	85941	0	0
2021.01.19	1.57146	1.57695	1.56715	1.57551	93796	0	0
2021.01.20	1.57551	1.57642	1.56018	1.56198	94746	0	0
2021.01.21	1.56219	1.56847	1.55967	1.56586	93965	0	0
2021.01.22	1.56554	1.58041	1.56526	1.57733	100895	0	0
2021.01.25	1.57646	1.57856	1.57073	1.57331	108781	0	0
2021.01.26	1.57331	1.57945	1.56886	1.56909	93904	0	0
2021.01.27	1.56913	1.58258	1.56739	1.57966	130259	0	0
2021.01.28	1.57959	1.59473	1.57619	1.57759	147185	0	0
2021.01.29	1.57697	1.58922	1.57661	1.58805	156365	0	0
2021.02.01	1.58932	1.59348	1.57875	1.58214	135477	0	0
2021.02.02	1.58205	1.58968	1.57702	1.58293	119783	0	0
2021.02.03	1.58299	1.58376	1.57650	1.57963	101954	0	0
2021.02.04	1.57966	1.58011	1.57059	1.57368	97872	0	0
2021.02.05	1.57364	1.57635	1.56911	1.56936	96319	0	0
2021.02.08	1.56947	1.57171	1.56168	1.56391	80504	0	0
2021.02.09	1.56391	1.56884	1.56226	1.56584	87520	0	0
2021.02.10	1.56584	1.57049	1.56495	1.56904	91773	0	0
2021.02.11	1.56894	1.57079	1.56244	1.56427	76618	0	0
2021.02.12	1.56424	1.56821	1.56073	1.56123	69604	0	5
2021.02.15	1.56056	1.56207	1.55752	1.55863	53758	0	3
2021.02.16	1.55887	1.56312	1.55586	1.56059	93825	0	5
2021.02.17	1.56040	1.56354	1.55284	1.55295	97385	0	2
2021.02.18	1.55295	1.56044	1.55055	1.55599	93351	0	5
2021.02.19	1.55637	1.55752	1.53932	1.53990	85758	0	6
